SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
603683,晶华新材,0.529,0.5288,610196564.38,-11.42238816,-,46284293.95,-21.5434524,-,4.3816556,13.74,0.79185659,25.07118075,,-,2017-10-09T00:00:00,2015-12-31T00:00:00,1,80474379
002504,*ST弘高,0.26,0.7,3288887163.64,5.73694402,-59.283,270009331.6,30.98475445,-51.0428,2.21084068,33.83,-0.05843694,19.21108216,10转15.22256派1.522256,1.6125593220339,2017-09-30T00:00:00,2015-12-31T00:00:00,8,80127340
002917,金奥博,-,-,398957036.43,24.73585447,-,72526468.58,149.66966826,-,22.99830675,43.75,10.40116416,34.60158901,,-,2017-09-29T00:00:00,2015-12-31T00:00:00,4,80089072
002921,联诚精密,0.72,0.59,507452047.24,-6.77519942,-,43263524.35,-10.99661787,-,6.37283466,11.99,0.94073962,27.30478532,,-,2017-09-29T00:00:00,2015-12-31T00:00:00,4,80509333
603607,京华激光,-,-,428589267.3,-9.43257442,-,56384863.47,4.43812275,-,3.79031146,26.54,0.63776482,35.2862754,,-,2017-09-28T00:00:00,2015-12-31T00:00:00,1,80558132
300709,精研科技,1.81,1.82,454181343.93,115.83700264,-,119702929.28,267.15949624,-,3.92736583,60.05,1.37168405,52.37391034,,-,2017-09-28T00:00:00,2015-12-31T00:00:00,3,80511074
002909,集泰股份,0.54,0.53,506012028.07,-5.64099177,-,48954041.03,77.22313647,-,2.68468175,21.93,0.7938766,37.49625492,,-,2017-09-28T00:00:00,2015-12-31T00:00:00,4,80474381
603829,洛凯股份,0.38,0.38,432378101.1,1.23078331,-,43273485.69,4.57358523,-,2.33405223,17.46,0.27419557,23.27036329,,-,2017-09-27T00:00:00,2015-12-31T00:00:00,1,80277298
603722,阿科力,0.87,0.85,314382874.07,31.09373491,-,56690081.31,111.87127749,-,3.26,30.96,1.08669444,37.46792878,,-,2017-09-27T00:00:00,2015-12-31T00:00:00,1,80365243
300116,坚瑞沃能,0.07,0.0677,581343054.45,65.58985569,78.9653,35367000.61,313.5351229,161.7751,1.91296229,3.75,-0.00800047,29.30419257,不分配不转增,-,2017-09-27T00:00:00,2015-12-31T00:00:00,3,80149722
002907,华森制药,0.2051,0.1724,469319111.87,10.19355315,-,73836220.91,25.6686743,-,1.21902933,22.44,0.22033686,62.04926333,,-,2017-09-26T00:00:00,2015-12-31T00:00:00,4,80166850
601108,财通证券,0.97,0.72,10241340331.37,127.47005837,25.6516,3075405936.63,259.40956485,194.4682,3.91875611,27.94,0.71818228,-,,-,2017-09-26T00:00:00,2015-12-31T00:00:00,1,80048595
002908,德生科技,0.91,0.88,435206757.05,-9.84492494,-,91160379.97,15.96127994,-,3.19752589,32.81,0.9276176,47.71484777,10派1.6,0.598578376356154,2017-09-25T00:00:00,2015-12-31T00:00:00,4,80116249
603466,风语筑,0.7,0.76,1018793629.67,26.69254241,-,65747834.17,1.84347848,-,4.27075632,19.42,0.56560842,27.17596833,,-,2017-09-25T00:00:00,2015-12-31T00:00:00,1,80511091
002905,金逸影视,1.95,1.87,2325275006.18,22.81656593,-,246267119.21,79.09439718,-,5.30498105,45.16,4.75921753,26.35446587,,-,2017-09-20T00:00:00,2015-12-31T00:00:00,4,80198678
300708,聚灿光电,0.12,0.08,351465235.17,18.80971234,-,23417315.34,-58.94995867,-,2.15832221,6.08,0.09149638,25.63361212,,-,2017-09-19T00:00:00,2015-12-31T00:00:00,3,80215110
300725,药石科技,0.46,0.86,136130804.0,77.62572905,-,19934489.35,-11.28975251,-,2.91,17.85,0.5504897,61.13294861,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,3,80477542
600933,爱柯迪,0.53,0.51,1465681187.52,12.96120243,-,347480514.9,36.0583411,-,1.84282877,31.08,0.61578048,42.87761685,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,1,80452535
002903,宇环数控,0.3,0.22,110321519.44,10.77825792,-,22546382.6,24.9741614,-,2.97832051,10.6,0.00723802,48.67232185,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,4,80509332
603076,乐惠国际,1.28,1.08,724353671.16,-1.15956902,-,64402576.2,27.46362891,-,5.34174955,37.93,1.70214197,28.67771866,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,1,80504196
603499,翔港科技,0.5692,0.53,274447405.26,13.86234298,-,42688851.36,-17.02419695,-,2.83896803,21.01,0.86099461,31.87642954,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,1,80504199
603110,东方材料,0.83,0.8,375722654.84,-2.1287713,-,63613603.89,13.88721114,-,3.62348252,25.78,0.65456212,40.67956269,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,1,80473157
002906,华阳集团,0.45,0.39,4144889048.28,-9.07885379,-,181176325.42,-24.12811466,-,5.48927856,8.49,0.99671623,21.00793122,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,4,80136633
603378,亚士创能,0.8,0.78,893052092.94,26.11381417,-,116534086.23,18.09002585,-,3.23290735,28.21,0.88157759,39.05175854,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,1,80417344
603367,辰欣药业,0.7,0.66,2496971989.4,4.54779315,-,246854932.0,12.12929792,-,5.93656631,12.4,0.75347846,36.88694143,,-,2017-09-18T00:00:00,2015-12-31T00:00:00,1,80204916
603103,横店影视,0.86,0.82,2113125660.27,78.85252911,-,344371602.61,190.55039931,-,1.68788774,70.9,2.04091707,28.73522353,,-,2017-09-13T00:00:00,2015-12-31T00:00:00,1,80509337
603136,天目湖,0.9,0.87,422925749.18,3.50804924,-,54032629.33,-5.08408438,-,4.46990657,22.21,3.06876981,66.16263461,,-,2017-09-13T00:00:00,2015-12-31T00:00:00,1,80189505
300705,九典制药,0.55,0.51,290492436.45,9.00713062,-,44642785.9,18.12584196,-,3.16,19.23,0.39954311,51.69725725,,-,2017-09-12T00:00:00,2015-12-31T00:00:00,3,80303023
002902,铭普光磁,0.77,0.77,1329401809.11,28.80390801,-,80933777.33,18.54188073,-,4.27621726,19.56,0.55499115,17.802621,,-,2017-09-12T00:00:00,2015-12-31T00:00:00,4,80380540
300722,新余国科,0.64,0.61,162706962.94,8.58274231,-,27313569.02,22.71798471,-,3.08778015,21.47,0.20623888,43.11945575,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,3,80622218
603278,大业股份,0.47,0.44,1134880053.9,0.70772015,-,72552452.81,62.04357412,-,2.83178941,17.89,0.87730663,21.47910192,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,1,80329971
300716,国立科技,0.69,0.66,523409550.66,37.86475178,-,46505527.4,16.33091951,-,4.62418102,16.67,0.04373603,21.21513098,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,3,80372060
603605,珀莱雅,0.96,0.73,1645210435.65,-5.45320729,-,143749635.89,-9.14351819,-,2.71256571,43.08,1.08087833,63.8602376,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,1,80502446
603970,中农立华,0.8827,0.8026,3234190473.11,12.48935466,-,88266997.29,9.3511193,-,3.03045917,32.52,-2.54219307,12.28780758,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,1,80135975
603809,豪能股份,1.3325,1.3072,601119809.62,-2.00711974,-,106601054.09,-21.85693232,-,8.19151236,17.71,1.40192384,37.72825468,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,1,80198302
601086,国芳集团,0.21,0.19,2929230905.35,-5.95121789,-,104350054.64,-22.47651205,-,2.14676463,11.4,0.22303076,18.2352316,,-,2017-09-11T00:00:00,2015-12-31T00:00:00,1,80357619
300654,世纪天鸿,0.48,0.45,384877593.61,16.19108551,-,33935916.2,60.90550136,-,3.09,17.05,0.22569505,34.39938341,,-,2017-09-05T00:00:00,2015-12-31T00:00:00,3,80437389
603363,傲农生物,0.1,0.24,4012709117.34,-4.10409699,-,33776936.24,-20.98051356,-,1.27030886,13.24,0.43079319,18.75494662,,-,2017-09-05T00:00:00,2015-12-31T00:00:00,1,80502442
002901,大博医疗,0.59,0.56,391825235.93,31.09279847,-,188507182.24,35.33474828,-,1.21973078,54.42,0.34289819,81.03283044,,-,2017-09-05T00:00:00,2015-12-31T00:00:00,4,80500598
603157,拉夏贝尔,1.23,1.14,7438931000.0,19.81054008,-,615251000.0,22.20648642,-,6.34414752,19.56,2.19331429,65.29809189,,-,2017-09-05T00:00:00,2015-12-31T00:00:00,1,80193610
300710,万隆光电,0.7852,0.7679,306547359.87,9.42122318,-,39022112.72,20.21454609,-,4.89430396,15.2,-0.00590662,35.37551252,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,3,80452041
600903,贵州燃气,0.07,0.09,2056373597.21,6.74705734,-,45755682.1,32.23007985,-,2.20287589,6.57,-0.06409871,23.97661696,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,1,80131210
603912,佳力图,0.51,0.49,374781862.55,9.78423632,-,51029366.62,20.33604249,-,1.87231761,23.59,0.48739385,40.14429616,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,1,80532668
002899,英派斯,0.85,0.85,730908842.41,5.85933677,-,76177358.28,2.49922651,-,4.01539548,23.78,1.4270216,38.57097769,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,4,80509331
603922,金鸿顺,0.85,0.93,854231385.98,-9.75892303,-,81409124.23,-28.95896956,-,4.17291817,22.56,1.84124064,26.38445731,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,1,80492229
603963,大理药业,1.0,0.95,266965263.74,-21.17627307,-,62292681.49,-37.75086556,-,3.2174624,18.72,1.53153106,46.37022343,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,1,80473158
002900,哈三联,1.05,1.0,722016528.07,5.94187546,-,166301367.01,13.14281861,-,4.59867962,24.44,1.26879319,61.79375315,,-,2017-09-04T00:00:00,2015-12-31T00:00:00,4,80197915
603055,台华新材,0.09,0.07,1896915097.52,-2.32016735,-,41395925.88,-48.6659845,-,2.47362064,3.54,0.98423762,21.01697176,,-,2017-09-01T00:00:00,2015-12-31T00:00:00,1,80329969
603106,恒银金融,0.68,0.62,912276827.38,33.01454956,-,141333746.68,121.78850215,-,2.80351723,28.14,0.00316594,40.85843081,,-,2017-08-31T00:00:00,2015-12-31T00:00:00,1,80496880
300701,森霸股份,0.6,0.55,132265389.4,8.75896826,-,36107511.85,21.08746711,-,2.39046652,26.08,0.54593865,47.15846536,,-,2017-08-31T00:00:00,2015-12-31T00:00:00,3,80310118
300702,天宇股份,0.56,0.5,840085268.54,8.07044007,-,50354815.24,108.59643551,-,5.50857557,10.6,0.16390464,32.91882452,,-,2017-08-30T00:00:00,2015-12-31T00:00:00,3,80357742
603533,掌阅科技,0.1,0.2,639670921.69,52.44179754,-,29566345.5,-48.54060832,-,5.53499692,40.39,1.0455229,48.45409721,,-,2017-08-30T00:00:00,2015-12-31T00:00:00,1,80507570
300707,威唐工业,0.6545,0.6784,235694528.97,44.47374398,-,36360056.67,16.35178363,-,2.95784905,27.19,0.41617442,40.55171224,,-,2017-08-28T00:00:00,2015-12-31T00:00:00,3,80548930
603321,梅轮电梯,0.49,0.46,862235823.12,4.9188046,-,112104660.67,26.78355251,-,1.81836689,34.93,0.537445,32.39863699,,-,2017-08-28T00:00:00,2015-12-31T00:00:00,1,80502441
603083,剑桥科技,1.79,1.78,2644227966.68,50.40234023,-,122829752.48,66.87085357,-,6.50153034,27.88,4.35397888,13.84226133,,-,2017-08-25T00:00:00,2015-12-31T00:00:00,1,80504197
603289,泰瑞机器,0.35,0.33,405172306.64,-13.30191257,-,53488306.82,-19.77336308,-,2.58150068,14.4,-0.00634911,34.02224701,,-,2017-08-25T00:00:00,2015-12-31T00:00:00,1,80471561
