code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600089,特变电工,电气设备,新疆,16.23,32.0,32.38,7499331.0,4252513.5,1932376.38,822435.19,2.54,0.6759999999999999,7.15,1.54,19970618,1048233.81,3.24,7.12,16.04,18.19,5.46,265424
002211,宏达新材,橡胶,江苏,357.7,2.66,4.32,106779.05,76776.68,19078.65,103788.3,2.4,0.026000000000000002,1.79,5.09,20080201,-72426.18,-1.67,1.72,118.2,13.62,1.62,56669
000426,兴业矿业,铅锌,内蒙,105.7,11.48,18.69,446219.41,79239.13,130845.38,84317.49,0.45,0.08,2.35,3.11,19960828,62279.05,0.33,-26.06,362.76,56.21,19.23,50404
300497,富祥股份,化学制药,江西,30.08,0.57,1.12,150151.67,94674.21,33715.9,41128.69,3.67,0.47,7.27,7.49,20151222,35343.12,3.15,44.27,37.62,40.67,22.0,15218
000767,漳泽电力,火力发电,山西,0.0,22.54,30.77,4610498.5,1262223.13,2228965.0,440792.09,1.43,-0.077,2.79,1.3,19970609,90091.96,0.29,33.0,-24.01,-0.66,-12.61,161171
300144,宋城演艺,旅游景点,浙江,32.02,11.26,14.53,756733.69,183900.66,179303.97,247617.55,1.7,0.621,4.41,4.51,20101209,228898.55,1.58,56.05,43.1,61.65,34.12,41291
002188,巴士在线,广告包装,浙江,209.16,1.73,3.0,225990.8,51203.3,13385.35,165390.59,5.52,0.091,6.76,3.74,20071122,6348.41,0.21,422.83,297.4,46.17,6.67,17658
002634,棒杰股份,服饰,浙江,129.12,2.57,4.61,110223.97,36887.7,20768.15,1312.54,0.03,0.017,1.46,6.17,20111205,17010.46,0.37,-17.7,-32.97,30.11,10.08,49276
600758,红阳能源,煤炭开采,辽宁,68.71,5.63,13.31,1659106.25,648106.25,725591.63,340929.41,2.56,0.13,3.87,2.31,19961029,21389.67,0.16,20.92,137.31,19.28,2.42,101451
000417,合肥百货,百货,安徽,15.56,7.79,7.8,963386.88,508515.0,172418.27,30882.48,0.4,0.14400000000000002,4.72,1.9,19960812,187567.47,2.41,4.5,16.58,18.23,3.63,34791
600482,中国动力,电气设备,河北,51.99,5.31,17.39,3951957.25,3097070.0,515840.56,1938556.25,11.15,0.71,14.63,2.19,20040714,411436.09,2.37,15.54,16.23,17.39,5.17,30660
600662,强生控股,公共交通,上海,50.63,10.53,10.53,661219.19,264889.94,218793.88,76741.4,0.73,0.175,3.09,2.87,19930614,99797.93,0.95,5.95,2.31,16.11,3.68,104536
002272,川润股份,机械基件,四川,232.06,3.13,4.2,163230.06,105468.52,46160.15,63770.71,1.52,0.008,2.79,2.52,20080919,8977.44,0.21,25.82,336.71,21.36,1.98,32094
000961,中南建设,建筑施工,江苏,64.06,37.0,37.1,11720461.0,10941616.0,195825.81,265426.03,0.72,0.12,3.65,1.93,20000301,690886.38,1.86,68.41,16.05,16.41,1.18,85000
600675,中华企业,区域地产,上海,279.46,18.67,18.67,2926222.0,2458134.5,9139.26,6035.75,0.03,0.006,1.75,4.01,19930924,84580.36,0.45,41.72,113.99,21.69,0.71,96402
002216,三全食品,食品,河南,67.28,5.71,8.15,365039.16,171582.25,129486.15,28971.35,0.36,0.033,2.39,3.67,20080220,83521.15,1.03,13.6,39.48,34.47,1.57,41681
000593,大通燃气,供气供热,四川,508.46,2.8,3.59,151474.77,26874.85,43295.45,68339.81,1.91,0.013000000000000001,3.2,2.72,19960312,11545.53,0.32,17.8,-52.56,25.61,1.3,33748
