code,name,mbrg,nprg,nav,targ,epsg,seg
603081,大丰实业,5.3879,7.9419,11.3739,11.3819,8.3333,11.3739
603359,东珠景观,1.4773,7.9270000000000005,17.9135,33.5676,6.6667,20.5666
002096,南岭民爆,7.2611,7.9008,8.2556,9.4606,6.0,8.5587
603017,中衡设计,13.9238,7.8934,127.8905,75.6302,7.4074,130.0226
002888,惠威科技,2.0815,7.877000000000001,35.4382,6.4492,5.6604,35.4382
300407,凯发电气,15.3666,7.8734,127.1134,55.1225,5.2632,128.5183
002817,黄山胶囊,1.6583,7.8732,17.7437,7.3373,8.1081,17.7437
600820,隧道股份,8.1727,7.8525,27.6053,3.0851,-48.6301,25.8705
300070,碧水源,10.0816,7.8521,25.9083,29.5457,-7.3684,25.5417
603388,元成股份,28.179000000000002,7.8302,20.5005,23.9894,-2.7778,20.5005
300037,新宙邦,10.5837,7.8159,7.9428,12.8266,6.8493,7.255
300449,汉邦高科,1.1287,7.7968,21.5174,20.205,8.0808,21.5174
600895,张江高科,56.4683,7.7886,2.6135,-3.2563,16.6667,3.1144
600643,爱建集团,97.4404,7.7281,9.3903,36.7245,7.907,9.2897
300469,信息发展,19.5525,7.7188,29.1511,26.5209,6.6566,28.4779
600861,北京城乡,-9.8054,7.656000000000001,2.6638,26.6057,9.8774,2.5186
603855,华荣股份,7.7769,7.641,14.8554,7.7485,6.8966,14.8554
002811,亚泰国际,14.3387,7.64,22.7157,41.8006,7.7922,22.7157
000538,云南白药,18.9669,7.5760000000000005,25.1012,26.8647,-27.8443,23.8822
002412,汉森制药,26.0701,7.5747,4.1107,3.4532,-47.0267,4.0511
002543,万和电气,7.7248,7.5489,1.7889,5.5777,-2.0507,3.3234
603778,乾景园林,3.0610000000000004,7.5419,22.3711,26.0739,7.1429,22.3711
002059,云南旅游,34.0855,7.5343,42.9925,83.9547,-4.5961,48.123999999999995
002351,漫步者,-7.202999999999999,7.5088,3.1111,0.8482,6.8966,2.4173
600104,上汽集团,11.2483,7.4945,14.3861,11.0346,12.7556,14.4509
600532,宏达矿业,0.84,7.4847,13.7929,13.8396,7.3171,13.7929
600557,康缘药业,14.9139,7.4589,32.1368,21.0588,-9.8592,33.0015
002808,苏州恒久,6.8006,7.4512,15.3127,12.2026,7.3563,15.3127
600563,法拉电子,6.7419,7.4376,9.3073,7.3693,7.0866,9.2169
000998,隆平高科,-3.6765,7.4268,16.2575,7.1083,-19.2444,21.1238
600356,恒丰纸业,-1.3515,7.3808,3.8185,1.5663,6.6667,3.8652
603393,新天然气,30.9057,7.3603,28.1782,5.1446,7.7381,28.1782
603696,安记食品,4.0516,7.3579,19.1435,13.0673,6.7797,19.1435
600637,东方明珠,12.9093,7.3477,20.1084,26.4108,15.9651,20.153
002882,金龙羽,-4.7243,7.3333,3.4638,-13.5521,,3.4638
