,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3404,300239,东宝生物,0.02,-88.56,1.72,1.42,-0.06,488.81,-88.54,,02-10
3405,600687,刚泰控股,0.51,65.16,,16.8,,25117.46,180.93,10派0.6,02-10
3406,600227,赤天化,-0.6,-5268.38,,-17.84,,-57469.99,-5289.17,,02-10
3407,600794,保税科技,0.24,-33.33,,10.0,,12000.42,-30.65,10派1转12,02-10
3408,600052,浙江广厦,0.24,300.0,,11.08,,21202.05,280.15,10派0.75,02-10
3409,002593,日上集团,0.19,11.76,,3.29,,3951.82,11.28,,02-10
3410,600714,金瑞矿业,0.03,-58.75,,1.98,,901.62,-60.26,,02-10
3411,300317,珈伟股份,0.06,-59.53,4.2,1.38,-0.28,817.53,-59.53,,02-10
3412,600311,荣华实业,-0.04,-615.07,,-2.78,,-2505.76,-614.62,,02-10
3413,600816,安信信托,2.25,266.07,,76.89,,102352.79,266.07,10派7,02-10
3414,002014,永新股份,0.47,-12.96,,10.45,,15449.11,-12.36,10派3,02-10
3415,600163,中闽能源,-0.78,-27.29,,-148.22,,-56112.5,-27.31,,02-10
3416,300390,天华超净,0.6,1.69,4.24,16.41,0.46,4164.0,13.03,,02-09
3417,002270,华明装备,0.1,0.0,,3.14,,1837.5,-0.96,,02-07
3418,600664,哈药股份,0.13,44.44,,3.0,,24710.57,46.5,,02-07
3419,000537,广宇发展,0.55,-21.43,,16.81,,28064.27,-22.22,,02-07
3420,002675,东诚药业,0.6,3.08,,9.23,,10395.8,3.08,,02-06
3421,300131,英唐智控,0.11,-375.0,2.66,4.07,-0.45,2152.48,-337.82,,02-06
3422,300286,安科瑞,0.51,-43.33,3.43,15.63,0.69,7137.93,12.03,,02-06
3423,600358,国旅联合,-0.38,-2000.0,,-44.16,,-16589.63,-1685.74,,02-06
3424,000158,常山北明,0.03,40.83,,0.99,,2428.47,38.25,,02-06
3425,002389,南洋科技,0.09,28.57,,2.8,,4864.69,38.2,10派0.2,02-06
3426,000050,深天马A,0.71,184.64,,14.09,,61265.6,326.8,10派1,02-06
3427,002495,佳隆股份,0.13,4.03,,3.39,,3639.19,3.73,10派1送3.8转10,02-06
3428,600986,科达股份,0.16,33.33,,7.27,,5354.29,36.66,,02-06
