code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
601163,三角轮胎,1.51,45.19,5.03,31.55,2.59,90356.89,45.18,,08-22
002922,伊戈尔,0.46,,4.93,9.85,0.9,4120.74,,,08-12
603658,安图生物,0.33,-45.0,0.9,42.35,0.27,12407.52,29.08,,08-11
300539,横河模具,0.41,-10.87,2.28,19.5,0.6,2888.25,-11.19,,08-11
600908,无锡银行,0.56,,,17.65,-0.8,92535.58,,,08-10
300538,同益股份,0.96,,3.2,35.45,1.1,4043.59,27.18,,08-10
603977,国泰集团,0.61,48.78,,23.32,0.8,10108.53,59.33,,08-09
002809,红墙股份,1.0,33.33,4.6,23.94,0.72,6001.99,32.95,,08-09
300537,广信材料,0.65,18.38,2.65,24.82,0.46,4883.04,29.2,,08-09
300536,农尚环境,0.58,16.0,2.54,25.22,,4050.83,34.9,,08-08
002810,山东赫达,0.87,-9.38,4.34,21.89,0.82,6219.29,-9.92,,08-08
603031,安德利,0.89,12.66,,23.64,2.58,5328.34,12.87,,08-08
603090,宏盛股份,0.48,-5.49,2.72,19.44,0.4,3615.99,-5.63,,08-08
300540,深冷股份,1.02,32.47,3.11,39.49,0.94,6121.35,32.92,,08-08
603515,欧普照明,0.91,8.33,2.89,35.55,0.98,47612.29,11.45,,07-29
603515,欧普照明,0.91,8.33,2.89,35.55,0.98,47612.29,11.45,,07-29
300532,今天国际,0.93,2.2,4.56,22.22,1.05,5874.14,5.88,,07-28
603986,兆易创新,0.9,4.65,4.42,22.51,1.34,6735.04,6.34,,07-28
300535,达威股份,0.76,4.11,5.36,15.1,0.28,3424.36,4.93,,07-28
601997,贵阳银行,1.0,11.11,,24.91,1.9,180378.9,10.99,,07-27
300530,达志科技,0.72,12.5,3.39,23.64,0.52,3763.57,11.69,,07-27
601595,上海电影,0.5,35.14,1.67,34.75,0.6,14026.17,33.91,,07-27
002807,江阴银行,0.64,,,19.64,-2.04,99972.2,1.44,,07-26
600936,广西广电,0.25,-10.71,,15.64,0.58,33924.39,0.97,,07-26
002808,苏州恒久,0.44,13.28,2.55,18.38,0.44,3913.64,13.28,,07-25
603843,正平股份,0.27,-10.0,2.82,17.44,0.94,8204.45,49.69,,07-25
300531,优博讯,0.76,13.43,2.82,31.36,0.1,4587.08,14.84,,07-25
603159,上海亚虹,0.49,-7.55,2.01,27.63,0.5,3658.81,-7.71,,07-25
603569,长久物流,0.48,-45.45,4.1,25.33,1.37,17441.06,21.78,,07-21
600977,中国电影,0.31,-23.5,2.46,13.29,0.8,42822.05,-23.52,,07-20
601811,新华文轩,0.55,0.0,4.77,12.03,0.23,62288.18,-0.11,,07-19
300528,幸福蓝海,0.49,8.89,,11.0,-0.62,11442.56,10.01,,07-18
300527,华舟应急,0.26,40.76,2.02,13.98,0.38,8980.94,40.7,,07-15
002907,华森制药,,,2.92,13.23,0.59,2894.7,,,07-15
300529,健帆生物,0.34,-54.05,,38.88,0.36,12678.46,26.75,,07-14
603007,花王股份,0.57,-1.72,,23.08,0.07,5705.83,-1.82,,07-14
603322,超讯通信,,,2.91,10.14,-0.47,1716.47,-55.73,,07-14
300526,中潜股份,0.67,8.06,3.04,24.88,0.52,4279.24,7.86,,07-13
300525,博思软件,0.54,-11.51,3.16,19.03,0.4,2778.41,-10.14,,07-13
002806,华锋股份,0.42,-22.17,3.08,14.51,0.25,2496.53,-22.16,,07-12
300523,辰安科技,0.73,30.36,3.56,22.8,0.18,4409.93,31.91,,07-11
603663,三祥新材,0.35,12.9,,18.92,0.25,3564.07,18.89,,07-11
300730,科创信息,0.17,,1.55,11.58,0.23,1207.56,,,07-01
002912,中新赛克,1.34,,6.25,26.52,2.03,5725.54,,,07-01
603655,朗博科技,0.57,,2.72,23.32,0.32,3577.71,,,07-01
300709,精研科技,,,6.83,6.03,1.02,548.65,,,07-01
603829,洛凯股份,0.36,,1.73,22.96,0.52,3623.91,,,07-01
603466,风语筑,,,,11.0,,2101.38,,,07-01
002908,德生科技,0.46,,2.58,45.51,0.5,4520.4,,,07-01
